Sample Size,Tree,dataset,type dataset,slurm_job_number,Insertion time (s),Insertion + searching exact times,Insertion + searching times,Searching Exact times,Searching Times,,
500000,Recursion,frequency_words,txt,58169665,17,17,18,0,1,,
500000,Recursion,frequency_words,txt,58169666,17,17,18,0,1,,
500000,Recursion,frequency_words,txt,58169667,16,17,16,1,0,,
1000000,Recursion,frequency_words,txt,58169670,21,25,24,4,3,,
1000000,Recursion,frequency_words,txt,58169671,21,25,24,4,3,,
1000000,Recursion,frequency_words,txt,58169672,20,23,23,3,3,,
2000000,Recursion,frequency_words,txt,58169201,29,37,error,8,#VALUE!,,
2000000,Recursion,frequency_words,txt,58169202,31,40,39,9,8,,
2000000,Recursion,frequency_words,txt,58169203,32,39,39,7,7,,
5000000,Recursion,frequency_words,txt,58168756,57,77,78,20,21,,
5000000,Recursion,frequency_words,txt,58168757,65,92,89,27,24,,
5000000,Recursion,frequency_words,txt,58168758,61,82,81,21,20,,
10000000,Recursion,frequency_words,txt,58167877,115,165,163,50,48,,
10000000,Recursion,frequency_words,txt,58167878,107,148,error,41,#VALUE!,,
10000000,Recursion,frequency_words,txt,58167879,107,150,149,43,42,,
50000000,Recursion,frequency_words,txt,error,error,error,error,error,error,,
50000000,Recursion,frequency_words,txt,error,error,error,error,error,error,,
50000000,Recursion,frequency_words,txt,error,error,error,error,error,error,,
500000,Iterative,frequency_words,txt,58181166,18,16,16,-2,-2,,
500000,Iterative,frequency_words,txt,58181167,18,16,16,-2,-2,,
500000,Iterative,frequency_words,txt,58181168,14,16,16,2,2,,
1000000,Iterative,frequency_words,txt,58181124,19,22,22,3,3,,
1000000,Iterative,frequency_words,txt,58181125,20,21,22,1,2,,
1000000,Iterative,frequency_words,txt,58181126,21,22,22,1,1,,
2000000,Iterative,frequency_words,txt,58169217,24,30,31,6,7,,
2000000,Iterative,frequency_words,txt,58169218,25,33,32,8,7,,
2000000,Iterative,frequency_words,txt,58169219,25,30,32,5,7,,
5000000,Iterative,frequency_words,txt,58168905,47,66,68,19,21,,
5000000,Iterative,frequency_words,txt,58168906,50,71,72,21,22,,
5000000,Iterative,frequency_words,txt,58168907,50,71,72,21,22,,
10000000,Iterative,frequency_words,txt,58168110,78,116,117,38,39,,
10000000,Iterative,frequency_words,txt,58168111,74,107,107,33,33,,
10000000,Iterative,frequency_words,txt,58168112,74,110,110,36,36,,
50000000,Iterative,frequency_words,txt,58165260,212,415,416,203,204,,
50000000,Iterative,frequency_words,txt,58165261,210,415,416,205,206,,
50000000,Iterative,frequency_words,txt,58165262,244,448,392,204,148,,
500000,Sparse,frequency_words,txt,58181319,20,19,20,-1,0,,
500000,Sparse,frequency_words,txt,58181320,18,19,19,1,1,,
500000,Sparse,frequency_words,txt,58181321,19,20,21,1,2,,
1000000,Sparse,frequency_words,txt,58181328,24,29,28,5,4,,
1000000,Sparse,frequency_words,txt,58181329,26,28,27,2,1,,
1000000,Sparse,frequency_words,txt,58181330,26,27,28,1,2,,
2000000,Sparse,frequency_words,txt,58169111,36,46,47,10,11,,
2000000,Sparse,frequency_words,txt,58169112,38,45,46,7,8,,
2000000,Sparse,frequency_words,txt,58169113,36,44,44,8,8,,
5000000,Sparse,frequency_words,txt,58169036,67,96,94,29,27,,
5000000,Sparse,frequency_words,txt,58169037,73,100,101,27,28,,
5000000,Sparse,frequency_words,txt,58169038,69,96,96,27,27,,
10000000,Sparse,frequency_words,txt,58168341,114,166,166,52,52,,
10000000,Sparse,frequency_words,txt,58168342,116,166,165,50,49,,
10000000,Sparse,frequency_words,txt,58168344,118,170,166,52,48,,
50000000,Sparse,frequency_words,txt,58165772,422,751,747,329,325,,
50000000,Sparse,frequency_words,txt,58165773,431,750,755,319,324,,
50000000,Sparse,frequency_words,txt,58165774,423,751,767,328,344,,
500000,Btree,frequency_words,txt,58169580,12,13,13,1,1,,
500000,Btree,frequency_words,txt,58169581,12,14,13,2,1,,
500000,Btree,frequency_words,txt,58169582,12,14,13,2,1,,
1000000,Btree,frequency_words,txt,58169473,15,20,19,5,4,,
1000000,Btree,frequency_words,txt,58169474,15,21,19,6,4,,
1000000,Btree,frequency_words,txt,58169475,15,20,18,5,3,,
2000000,Btree,frequency_words,txt,58169252,22,34,32,12,10,,
2000000,Btree,frequency_words,txt,58169253,22,33,33,11,11,,
2000000,Btree,frequency_words,txt,58169254,21,32,32,11,11,,
5000000,Btree,frequency_words,txt,58168678,43,72,71,29,28,,
5000000,Btree,frequency_words,txt,58168679,42,73,69,31,27,,
5000000,Btree,frequency_words,txt,58168680,45,80,75,35,30,,
10000000,Btree,frequency_words,txt,58168629,74,140,136,66,62,,
10000000,Btree,frequency_words,txt,58168630,78,145,140,67,62,,
10000000,Btree,frequency_words,txt,58168631,79,126,120,47,41,,
50000000,Btree,frequency_words,txt,58166187,221,570,764,349,543,,
50000000,Btree,frequency_words,txt,58166188,232,570,580,338,348,,
50000000,Btree,frequency_words,txt,58166189,229,697,579,468,350,,
2000000,Recursion,wikipedia,txt,58181445,35,47,46,12,11,,
2000000,Recursion,wikipedia,txt,58181446,34,47,47,13,13,,
